date,SPY,QQQ,SCHD,IEF,GLD,SGOV,TQQQ,TQQQ_cal,QLD,QLD_cal
1998-08-21,1.887993249072295e-05,0.0,1.887993249072295e-05,0.00014753424657534218,0.0,0.0001381029381611,0.0,0.0,0.0,0.0
1998-08-24,4.724659866450764e-06,0.0,4.724659866450764e-06,0.00043767123287671226,0.0,0.0004117457796057,0.0,0.0,0.0,0.0
1998-08-25,-2.7545676175577682e-06,0.0,-2.7545676175577682e-06,0.0001452054794520548,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
1998-08-26,8.216801527194395e-05,0.0,8.216801527194395e-05,0.00014369863013698628,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-08-27,9.129044607936176e-05,0.0,9.129044607936176e-05,0.00014369863013698628,0.0,0.0001386725743621,0.0,0.0,0.0,0.0
1998-08-28,0.00014158224767968353,0.0,0.00014158224767968353,0.00014013698630136986,0.0,0.0001366791027776,0.0,0.0,0.0,0.0
1998-08-31,1.7236315045021655e-05,0.0,1.7236315045021655e-05,0.0004183561643835616,0.0,0.0004032051718233,0.0,0.0,0.0,0.0
1998-09-01,4.3447845806010577e-05,0.0,4.3447845806010577e-05,0.00013808219178082192,0.0,0.0001341171171399,0.0,0.0,0.0,0.0
1998-09-02,0.0002303182146663474,0.0,0.0002303182146663474,0.0001384931506849315,0.0,0.0001346863453071,0.0,0.0,0.0,0.0
1998-09-03,3.2426775538274555e-05,0.0,3.2426775538274555e-05,0.00013945205479452054,0.0,0.0001344017239411,0.0,0.0,0.0,0.0
1998-09-04,4.277588384393738e-05,0.0,4.277588384393738e-05,0.00013767123287671234,0.0,0.000132409782131,0.0,0.0,0.0,0.0
1998-09-08,6.507995545002032e-05,0.0,6.507995545002032e-05,0.0005495890410958904,0.0,0.0005330535364559,0.0,0.0,0.0,0.0
1998-09-09,5.703481939312027e-05,0.0,5.703481939312027e-05,0.00013794520547945205,0.0,0.0001332633841139,0.0,0.0,0.0,0.0
1998-09-10,1.667215433975855e-05,0.0,1.667215433975855e-05,0.0001352054794520548,0.0,0.0001338325249024,0.0,0.0,0.0,0.0
1998-09-11,0.00030107235241261243,0.0,0.00030107235241261243,0.00012986301369863012,0.0,0.0001309874032843,0.0,0.0,0.0,0.0
1998-09-14,0.00020034424286996533,0.0,0.00020034424286996533,0.000396986301369863,0.0,0.0004006438416824,0.0,0.0,0.0,0.0
1998-09-15,1.5984117029965716e-07,0.0,1.5984117029965716e-07,0.00013273972602739726,0.0,0.0001326943015669,0.0,0.0,0.0,0.0
1998-09-16,6.911476752691215e-05,0.0,6.911476752691215e-05,0.00013342465753424658,0.0,0.0001312718499464,0.0,0.0,0.0,0.0
1998-09-17,6.702437606409539e-05,0.0,6.702437606409539e-05,0.00013287671232876683,0.0,0.0001298497621388,0.0,0.0,0.0,0.0
1998-09-18,6.55032976304426e-06,0.0,6.55032976304426e-06,0.00013068493150684906,0.0,0.0001287123537442,0.0,0.0,0.0,0.0
1998-09-21,2.0336507240426016e-05,0.0,2.0336507240426016e-05,0.0003838356164383561,0.0,0.0003801673466876,0.0,0.0,0.0,0.0
1998-09-22,1.995958196943093e-06,0.0,1.995958196943093e-06,0.00012780821917808218,0.0,0.0001281437368062,0.0,0.0,0.0,0.0
1998-09-23,3.081023824091922e-05,0.0,3.081023824091922e-05,0.00012904109589041097,0.0,0.0001318407869292,0.0,0.0,0.0,0.0
1998-09-24,3.3799886953733704e-06,0.0,3.3799886953733704e-06,0.00012780821917808218,0.0,0.0001278594501481,0.0,0.0,0.0,0.0
1998-09-25,2.057541417244124e-06,0.0,2.057541417244124e-06,0.00012602739726027398,0.0,0.0001247332562459,0.0,0.0,0.0,0.0
1998-09-28,0.0003170548698308018,0.0,0.0003170548698308018,0.00037520547945205394,0.0,0.0003716428891063,0.0,0.0,0.0,0.0
1998-09-29,1.6398711472742633e-05,0.0,1.6398711472742633e-05,0.00012520547945205478,0.0,0.0001224607648067,0.0,0.0,0.0,0.0
1998-09-30,5.731524091223683e-05,0.0,5.731524091223683e-05,0.0001247945205479452,0.0,0.0001244491439837,0.0,0.0,0.0,0.0
1998-10-01,1.6086841532980678e-05,0.0,1.6086841532980678e-05,0.00012082191780821918,0.0,0.0001196214570567,0.0,0.0,0.0,0.0
1998-10-02,5.6327809216494273e-05,0.0,5.6327809216494273e-05,0.00011767123287671233,0.0,0.0001159325255858,0.0,0.0,0.0,0.0
