최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,S1_청산일,S2_동결,key,보유년,시작,종료,배분
2501853898.5582056,910500000.0,448395086.7728272,910500.0,0.11583358373689832,-0.2946946776051742,-0.2963788919968613,5,8521666.31539005,2021-04-29,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-03-02,2023-03-01,M1
2542590261.1347404,906000000.0,461152791.6021062,906000.0,0.11780157186137574,-0.29467043763220213,-0.2963789405253351,3,6049687.759934425,2021-05-07,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-04-01,2023-03-31,M1
2621427728.12237,906000000.0,483389000.23964274,906000.0,0.12120640384592264,-0.29465153017799517,-0.2963789783780968,2,3582898.68694824,2021-06-17,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-05-01,2023-04-28,M1
2560575852.462855,906000000.0,466225650.6946514,906000.0,0.11856724011060266,-0.29461251847460646,-0.2963790564796045,8,6427883.168872416,2021-07-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-06-01,2023-05-31,M1
2682890578.5572715,906000000.0,500724676.00333303,906000.0,0.12365620224034331,-0.29459638925008347,-0.29637908877034447,7,6060240.869710207,2021-07-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-07-01,2023-06-30,M1
2633005156.924738,910500000.0,485386467.3377466,910500.0,0.12136653823502083,-0.2945509366628347,-0.29637917976651507,3,4517729.467136145,2021-07-12,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-08-03,2023-08-02,M1
2641788486.279945,906000000.0,489131778.1815229,906000.0,0.12194960720534284,-0.2945207805282253,-0.2963792401391573,7,8048537.428665638,2021-07-26,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-09-01,2023-08-31,M1
2572244864.5867834,906000000.0,469516910.5244775,906000.0,0.11909007918336399,-0.2945195498755482,-0.29637924260292625,2,3870727.252672404,2021-07-26,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-10-01,2023-09-29,M1
2534893870.9466047,910500000.0,457714053.3439142,910500.0,0.11723176117876336,-0.294490034801133,-0.2963793016921642,3,6971889.713008374,2021-08-12,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-11-02,2023-11-01,M1
2546046276.215072,906000000.0,462127565.0863024,906000.0,0.11793786487557245,-0.2944469409514229,-0.29637938796613783,20,13152228.347565055,2021-08-30,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-12-01,2023-11-30,M1
2621587196.089187,910500000.0,482166016.845668,910500.0,0.12084805811037078,-0.2944172406276505,-0.29637944742624556,46,15739506.070553571,2021-10-18,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-01-04,2024-01-03,M1
2745933357.304733,906000000.0,518505972.5731298,906000.0,0.12612939819818603,-0.2944138165254613,-0.29637945428130474,11,12042790.029546082,2021-10-20,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-02-01,2024-01-31,M1
